City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Sinnamary,GF,2021-10-31 16:44:37,5.3833,-52.95,82.71,75,96,8.01
155,Rognan,NO,2021-10-31 16:44:38,67.0953,15.3878,47.05,86,100,8.77
156,Almaznyy,RU,2021-10-31 16:44:38,48.0448,40.045,46.54,69,0,7.81
157,Ossora,RU,2021-10-31 16:44:38,59.2353,163.0719,9.19,77,100,11.39
158,Caravelas,BR,2021-10-31 16:44:39,-17.7125,-39.2481,81.77,63,77,10.25
159,Esso,RU,2021-10-31 16:44:39,55.9333,158.7,7.56,94,62,7.63
160,Kruisfontein,ZA,2021-10-31 16:44:40,-34.0033,24.7314,66.42,77,95,7.36
161,Tanda,IN,2021-10-31 16:44:40,26.55,82.65,69.67,49,0,2.35
162,Marsa Matruh,EG,2021-10-31 16:44:40,31.3525,27.2453,77.2,41,40,8.05
163,Khatanga,RU,2021-10-31 16:44:41,71.9667,102.5,4.8,96,100,8.68
164,Riyadh,SA,2021-10-31 16:43:31,24.6877,46.7219,80.74,19,0,7.27
165,Saint George,US,2021-10-31 16:44:41,37.1041,-113.5841,73.87,52,1,0.0
166,Ibra,OM,2021-10-31 16:44:42,22.6906,58.5334,80.96,25,8,7.92
167,Halifax,CA,2021-10-31 16:40:25,44.6453,-63.5724,58.08,97,100,11.99
168,Cidreira,BR,2021-10-31 16:44:42,-30.1811,-50.2056,72.03,78,23,20.69
169,Bambari,CF,2021-10-31 16:44:42,5.768,20.6757,79.93,69,79,2.73
170,Aksu,CN,2021-10-31 16:44:43,41.1231,80.2644,47.43,42,7,4.63
171,Vanimo,PG,2021-10-31 16:44:43,-2.6741,141.3028,77.58,88,100,1.43
172,Los Llanos De Aridane,ES,2021-10-31 16:44:43,28.6585,-17.9182,69.55,81,20,4.0
173,Cottage Grove,US,2021-10-31 16:44:44,44.8277,-92.9438,48.38,57,1,1.01
174,Ko Samui,TH,2021-10-31 16:44:44,9.5357,99.9357,80.91,78,100,3.15
175,Yerbogachen,RU,2021-10-31 16:44:45,61.2767,108.0108,19.27,73,98,7.4
176,Quatre Cocos,MU,2021-10-31 16:44:45,-20.2078,57.7625,74.08,76,50,6.93
177,Barbosa,CO,2021-10-31 16:44:45,5.9317,-73.6151,72.0,73,97,1.99
178,Fort Morgan,US,2021-10-31 16:44:46,40.2503,-103.8,40.8,93,90,5.75
179,Bougouni,ML,2021-10-31 16:44:46,11.417,-7.479,93.65,32,65,3.47
180,Warman,CA,2021-10-31 16:44:46,52.3168,-106.5679,29.08,74,40,11.5
181,Ludvika,SE,2021-10-31 16:44:47,60.1496,15.1878,46.2,93,61,8.75
182,Bonfim,BR,2021-10-31 16:44:47,3.0833,-59.95,93.45,43,91,2.24
183,Alta Floresta,BR,2021-10-31 16:44:47,-9.8756,-56.0861,96.06,38,50,0.92
184,Kulhudhuffushi,MV,2021-10-31 16:44:48,6.6221,73.07,80.38,80,100,6.22
185,Chokurdakh,RU,2021-10-31 16:44:48,70.6333,147.9167,-11.72,100,100,5.82
186,Vila Franca Do Campo,PT,2021-10-31 16:44:48,37.7167,-25.4333,75.2,86,100,14.83
187,Souillac,MU,2021-10-31 16:44:49,-20.5167,57.5167,74.35,83,40,3.44
188,Tiksi,RU,2021-10-31 16:39:57,71.6872,128.8694,14.68,83,100,12.35
189,Carnarvon,AU,2021-10-31 16:44:49,-24.8667,113.6333,68.07,73,90,17.27
190,Vardo,NO,2021-10-31 16:44:49,70.3705,31.1107,37.38,87,75,9.22
191,Zaysan,KZ,2021-10-31 16:44:50,47.4667,84.8667,39.94,83,100,13.67
192,Port Blair,IN,2021-10-31 16:44:50,11.6667,92.75,81.16,79,97,2.95
193,Bukachacha,RU,2021-10-31 16:44:50,52.9833,116.9167,23.45,54,50,2.3
194,Port-Gentil,GA,2021-10-31 16:44:51,-0.7193,8.7815,80.56,83,75,16.11
195,Franklin,US,2021-10-31 16:40:41,39.9667,-83.0166,56.88,79,75,4.0
196,Viedma,AR,2021-10-31 16:44:51,-40.8135,-62.9967,57.02,58,100,12.01
