City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Pangody,RU,65.85,74.4859,14.54,93,100,17.13,light snow
116,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,83,100,11.61,overcast clouds
117,Rovaniemi,FI,66.5,25.7167,40.41,100,90,12.66,overcast clouds
118,Hailar,CN,49.2,119.7,28.65,48,7,6.6,clear sky
119,Nikolskoye,RU,59.7035,30.7861,48.87,87,63,5.91,broken clouds
120,Aranos,NA,-24.1333,19.1167,86.65,10,0,4.03,clear sky
121,Matara,LK,5.9485,80.5353,77.79,92,98,6.6,overcast clouds
122,Gravdal,NO,68.1214,13.5031,44.01,80,100,11.63,light rain
123,Souillac,MU,-20.5167,57.5167,78.37,71,21,8.99,few clouds
124,Canon City,US,38.441,-105.2424,58.12,28,1,5.99,clear sky
125,Viiratsi,EE,58.36,25.6372,54.86,72,47,7.18,scattered clouds
126,Ahipara,NZ,-35.1667,173.1667,62.13,97,100,18.37,overcast clouds
127,San Policarpo,PH,12.1791,125.5072,80.89,81,100,15.61,overcast clouds
128,Salalah,OM,17.0151,54.0924,84.29,65,20,5.75,few clouds
129,Iqaluit,CA,63.7506,-68.5145,40.73,65,75,11.99,light rain
130,Piacabucu,BR,-10.4056,-36.4344,83.61,58,47,9.93,scattered clouds
131,Port Elizabeth,ZA,-33.918,25.5701,73.09,69,5,17.65,clear sky
132,Namibe,AO,-15.1961,12.1522,74.01,66,56,11.59,broken clouds
133,New Norfolk,AU,-42.7826,147.0587,51.93,59,96,1.99,overcast clouds
134,Katangli,RU,51.7102,143.2326,32.47,94,100,22.41,snow
135,Tuktoyaktuk,CA,69.4541,-133.0374,17.19,94,41,7.58,scattered clouds
136,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,96,100,16.8,overcast clouds
137,Budogoshch,RU,59.2816,32.4707,46.35,91,66,6.67,broken clouds
138,Snezhnogorsk,RU,69.1933,33.2531,20.98,91,100,6.55,overcast clouds
139,Sitka,US,57.0531,-135.33,46.29,66,75,13.8,broken clouds
140,Novokayakent,RU,42.3937,47.9861,50.11,61,44,5.61,scattered clouds
141,Kodiak,US,57.79,-152.4072,44.08,95,100,29.15,moderate rain
142,Esperance,AU,-33.8667,121.9,57.07,73,0,15.41,clear sky
143,Keller,US,32.9346,-97.2517,53.82,56,1,4.0,clear sky
144,Klaksvik,FO,62.2266,-6.589,47.32,85,100,11.18,overcast clouds
145,Waipawa,NZ,-41.4122,175.5153,58.46,86,100,15.32,light rain
146,Acaponeta,MX,22.4964,-105.3594,73.27,78,0,3.31,clear sky
147,Timmins,CA,48.4669,-81.3331,39.74,78,94,4.85,overcast clouds
148,Hasaki,JP,35.7333,140.8333,61.2,56,53,7.81,broken clouds
149,Cidreira,BR,-30.1811,-50.2056,71.1,76,87,19.3,overcast clouds
150,Faanui,PF,-16.4833,-151.75,77.65,73,5,17.31,light rain
151,Utamysh,RU,42.4072,47.7511,46.18,76,53,4.36,broken clouds
152,Bambous Virieux,MU,-20.3428,57.7575,78.22,73,66,2.39,broken clouds
153,Hambantota,LK,6.1241,81.1185,80.33,80,97,4.56,light rain
154,Biryusinsk,RU,55.9634,97.8235,40.87,66,99,8.68,overcast clouds
155,La Union,PE,-5.4,-80.75,72.1,62,72,8.08,broken clouds
156,East London,ZA,-33.0153,27.9116,67.14,72,20,20.71,few clouds
157,Vao,NC,-22.6667,167.4833,70.68,75,7,8.66,clear sky
158,Mayo,US,38.8876,-76.5119,59.95,90,1,3.0,clear sky
159,Qaanaaq,GL,77.484,-69.3632,1.26,55,0,9.1,clear sky
160,Constitucion,CL,-35.3333,-72.4167,62.74,60,100,10.13,overcast clouds
161,Bonthe,SL,7.5264,-12.505,76.17,86,100,2.66,overcast clouds
162,Ngaoundere,CM,7.3167,13.5833,77.67,63,98,5.23,overcast clouds
163,Rio Grande,BR,-32.035,-52.0986,75.31,74,100,20.04,overcast clouds
164,Omsukchan,RU,62.5333,155.8,0.9,98,100,4.27,overcast clouds
165,Tabou,CI,4.423,-7.3528,81.25,77,100,8.25,moderate rain
166,Harper,LR,4.375,-7.7169,81.23,76,100,7.81,light rain
167,Aklavik,CA,68.2191,-135.0107,9.39,94,21,4.94,few clouds
168,Sorland,NO,67.667,12.6934,46.89,88,100,10.25,overcast clouds
169,Bani,DO,18.2833,-70.3333,84.74,62,7,5.53,clear sky
170,Williston,US,48.147,-103.618,43.21,83,47,3.0,scattered clouds
171,Dikson,RU,73.5069,80.5464,8.55,91,100,16.98,overcast clouds
172,Endicott,US,42.0984,-76.0494,53.04,90,90,1.99,overcast clouds
173,Aswan,EG,24.0934,32.907,98.87,18,77,3.71,broken clouds
174,Tumkur,IN,13.3422,77.1017,74.44,89,94,6.44,overcast clouds
